Me,Pre,Ti
0.436079,0.441651,0.1
0.321777,0.332729,0.2
1.47568,1.4748,0.3
2.57573,2.57543,0.4
3.20608,3.21021,0.5
4.55671,4.5546,0.6
6.84015,6.83007,0.7
7.24295,7.24925,0.8
9.21775,9.21102,0.9
9.9163,9.9203,1.0 
11.7143,11.7095,1.1
12.913,12.9132,1.2
13.5582,13.563,1.3
14.9604,14.9594,1.4
15.9547,15.9569,1.5
16.4075,16.4139,1.6
17.5875,17.5887,1.7
19.133,19.1316,1.8
21.6554,21.6471,1.9
23.1642,23.1633,2.0 
24.8336,24.8317,2.1
25.3289,25.3353,2.2
26.7007,26.7013,2.3
28.8279,28.8235,2.4
29.4683,29.4739,2.5
30.7117,30.7135,2.6
33.5568,33.5483,2.7
35.1265,35.1264,2.8
35.93,35.9348,2.9
38.1014,38.0978,3.0 
38.3631,38.3714,3.1
40.8452,40.8401,3.2
41.2507,41.2581,3.3
43.2379,43.2361,3.4
46.3885,46.3799,3.5
47.7104,47.7126,3.6
48.6549,48.6594,3.7
50.2385,50.2394,3.8
52.9114,52.9064,3.9
53.9962,54,4.0 
55.9889,55.9879,4.1
58.5571,58.5531,4.2
59.5902,59.5945,4.3
61.6665,61.6654,4.4
63.5455,63.5456,4.5
65.7616,65.76,4.6
67.3826,67.3842,4.7
69.8645,69.8618,4.8
70.8456,70.8505,4.9
73.4389,73.4359,5.0 
74.0797,74.0864,5.1
